==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, lr=0.0003, margin=0.3, max_epoch=60, num_instances=4, optim='adam', print_freq=10, resume='', root='E:\\files\\programming\\dataset\\reid', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=60, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 0
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [17][80/93]	Time 0.111 (0.192)	Data 0.037 (0.114)	Loss 4.8476 (4.9559)	
Epoch: [17][90/93]	Time 0.115 (0.184)	Data 0.037 (0.105)	Loss 5.2659 (4.9877)	
Epoch: [18][10/93]	Time 0.125 (0.750)	Data 0.042 (0.652)	Loss 6.4026 (4.5960)	
Epoch: [18][20/93]	Time 0.111 (0.433)	Data 0.037 (0.345)	Loss 4.5291 (4.4515)	
Epoch: [18][30/93]	Time 0.139 (0.330)	Data 0.054 (0.245)	Loss 4.6944 (4.5867)	
Epoch: [18][40/93]	Time 0.111 (0.277)	Data 0.036 (0.193)	Loss 4.7077 (4.6426)	
Epoch: [18][50/93]	Time 0.116 (0.245)	Data 0.037 (0.162)	Loss 4.5447 (4.6602)	
Epoch: [18][60/93]	Time 0.116 (0.224)	Data 0.038 (0.142)	Loss 4.8695 (4.6413)	
Epoch: [18][70/93]	Time 0.131 (0.208)	Data 0.045 (0.127)	Loss 4.8334 (4.6788)	
Epoch: [18][80/93]	Time 0.114 (0.197)	Data 0.037 (0.116)	Loss 4.9373 (4.6959)	
Epoch: [18][90/93]	Time 0.111 (0.187)	Data 0.036 (0.107)	Loss 4.8649 (4.7231)	
Epoch: [19][10/93]	Time 0.112 (0.732)	Data 0.036 (0.643)	Loss 3.8911 (4.2774)	
Epoch: [19][20/93]	Time 0.110 (0.422)	Data 0.036 (0.340)	Loss 3.6469 (4.1655)	
Epoch: [19][30/93]	Time 0.112 (0.319)	Data 0.038 (0.239)	Loss 3.8802 (4.1296)	
Epoch: [19][40/93]	Time 0.111 (0.268)	Data 0.037 (0.189)	Loss 4.6366 (4.1980)	
Epoch: [19][50/93]	Time 0.113 (0.237)	Data 0.038 (0.158)	Loss 4.7813 (4.2698)	
Epoch: [19][60/93]	Time 0.115 (0.216)	Data 0.037 (0.138)	Loss 5.3215 (4.3685)	
Epoch: [19][70/93]	Time 0.110 (0.202)	Data 0.034 (0.124)	Loss 3.9760 (4.3974)	
Epoch: [19][80/93]	Time 0.120 (0.191)	Data 0.041 (0.113)	Loss 4.7316 (4.4567)	
Epoch: [19][90/93]	Time 0.113 (0.182)	Data 0.036 (0.104)	Loss 4.9717 (4.4930)	
Epoch: [20][10/93]	Time 0.113 (0.715)	Data 0.038 (0.626)	Loss 3.8328 (3.9712)	
Epoch: [20][20/93]	Time 0.117 (0.415)	Data 0.039 (0.332)	Loss 3.7906 (3.8618)	
Epoch: [20][30/93]	Time 0.111 (0.314)	Data 0.037 (0.234)	Loss 4.8525 (4.0538)	
Epoch: [20][40/93]	Time 0.115 (0.264)	Data 0.037 (0.185)	Loss 4.7966 (4.1100)	
Epoch: [20][50/93]	Time 0.115 (0.234)	Data 0.038 (0.155)	Loss 4.7463 (4.1814)	
Epoch: [20][60/93]	Time 0.115 (0.213)	Data 0.038 (0.135)	Loss 3.8608 (4.2052)	
Epoch: [20][70/93]	Time 0.113 (0.199)	Data 0.036 (0.121)	Loss 4.1782 (4.2104)	
Epoch: [20][80/93]	Time 0.110 (0.188)	Data 0.037 (0.111)	Loss 4.4871 (4.2594)	
Epoch: [20][90/93]	Time 0.109 (0.180)	Data 0.035 (0.103)	Loss 4.8657 (4.3055)	
Epoch: [21][10/93]	Time 0.118 (0.719)	Data 0.037 (0.625)	Loss 3.5212 (3.8245)	
Epoch: [21][20/93]	Time 0.110 (0.415)	Data 0.037 (0.331)	Loss 3.8532 (3.8653)	
Epoch: [21][30/93]	Time 0.111 (0.315)	Data 0.036 (0.234)	Loss 4.0459 (3.9427)	
Epoch: [21][40/93]	Time 0.114 (0.264)	Data 0.037 (0.185)	Loss 3.9145 (3.9832)	
Epoch: [21][50/93]	Time 0.118 (0.234)	Data 0.041 (0.155)	Loss 3.9056 (4.0396)	
Epoch: [21][60/93]	Time 0.111 (0.214)	Data 0.037 (0.136)	Loss 4.4148 (4.0967)	
Epoch: [21][70/93]	Time 0.116 (0.200)	Data 0.038 (0.121)	Loss 3.7540 (4.1166)	
Epoch: [21][80/93]	Time 0.113 (0.189)	Data 0.036 (0.111)	Loss 4.7987 (4.1470)	
Epoch: [21][90/93]	Time 0.113 (0.180)	Data 0.039 (0.103)	Loss 4.4950 (4.1680)	
Epoch: [22][10/93]	Time 0.117 (0.727)	Data 0.039 (0.636)	Loss 3.1270 (3.4654)	
Epoch: [22][20/93]	Time 0.126 (0.421)	Data 0.038 (0.337)	Loss 3.6679 (3.5545)	
Epoch: [22][30/93]	Time 0.120 (0.322)	Data 0.042 (0.239)	Loss 4.8522 (3.6483)	
Epoch: [22][40/93]	Time 0.113 (0.271)	Data 0.034 (0.188)	Loss 3.9191 (3.7335)	
Epoch: [22][50/93]	Time 0.112 (0.239)	Data 0.037 (0.158)	Loss 4.2597 (3.7691)	
Epoch: [22][60/93]	Time 0.111 (0.218)	Data 0.037 (0.138)	Loss 4.4495 (3.8286)	
Epoch: [22][70/93]	Time 0.117 (0.204)	Data 0.038 (0.123)	Loss 4.1697 (3.8491)	
Epoch: [22][80/93]	Time 0.118 (0.193)	Data 0.042 (0.113)	Loss 4.0433 (3.9038)	
Epoch: [22][90/93]	Time 0.112 (0.185)	Data 0.038 (0.105)	Loss 3.9660 (3.9547)	
Epoch: [23][10/93]	Time 0.122 (0.777)	Data 0.041 (0.674)	Loss 3.4785 (3.5061)	
Epoch: [23][20/93]	Time 0.111 (0.446)	Data 0.037 (0.356)	Loss 3.1554 (3.3920)	
Epoch: [23][30/93]	Time 0.118 (0.336)	Data 0.039 (0.250)	Loss 3.1048 (3.4111)	
Epoch: [23][40/93]	Time 0.120 (0.281)	Data 0.039 (0.197)	Loss 3.6118 (3.4903)	
Epoch: [23][50/93]	Time 0.114 (0.248)	Data 0.038 (0.166)	Loss 3.3948 (3.5924)	
Epoch: [23][60/93]	Time 0.115 (0.226)	Data 0.038 (0.144)	Loss 3.8533 (3.7033)	
Epoch: [23][70/93]	Time 0.115 (0.210)	Data 0.037 (0.129)	Loss 3.6675 (3.7872)	
Epoch: [23][80/93]	Time 0.115 (0.199)	Data 0.038 (0.118)	Loss 4.0607 (3.8276)	
